rank,player_name,points,player_url,scraped_at
100,A. Shevchenko,658,/en/players/aleksandr-shevchenko/s0h2/overview,2026-07-14T15:18:08.978153
101,A. Molcan,649,/en/players/alex-molcan/mv14/overview,2026-07-14T15:18:08.978153
102,B. Bonzi,633,/en/players/benjamin-bonzi/bm95/overview,2026-07-14T15:18:08.978153
103,A. Popyrin,630,/en/players/alexei-popyrin/p09z/overview,2026-07-14T15:18:08.978153
104,M. Damm,628,/en/players/martin-damm/d0dt/overview,2026-07-14T15:18:08.978153
105,E. Spizzirri,626,/en/players/eliot-spizzirri/s0ja/overview,2026-07-14T15:18:08.978153
106,Y. Wu,622,/en/players/yibing-wu/wb32/overview,2026-07-14T15:18:08.978153
107,H. Gaston,619,/en/players/hugo-gaston/g09o/overview,2026-07-14T15:18:08.978153
108,D. Dzumhur,604,/en/players/damir-dzumhur/d923/overview,2026-07-14T15:18:08.978153
109,Y. Bu,604,/en/players/yunchaokete-bu/y09v/overview,2026-07-14T15:18:08.978153
110,F. Diaz Acosta,604,/en/players/facundo-diaz-acosta/d0cg/overview,2026-07-14T15:18:08.978153
111,C. Wong,576,/en/players/coleman-wong/w0bh/overview,2026-07-14T15:18:08.978153
112,P. Kypson,576,/en/players/patrick-kypson/k0a3/overview,2026-07-14T15:18:08.978153
113,A. Vukic,574,/en/players/aleksandar-vukic/v832/overview,2026-07-14T15:18:08.978153
114,D. Svrcina,554,/en/players/dalibor-svrcina/s0gd/overview,2026-07-14T15:18:08.978153
115,S. Mochizuki,547,/en/players/shintaro-mochizuki/m0hu/overview,2026-07-14T15:18:08.978153
116,P. Llamas Ruiz,545,/en/players/pablo-llamas-ruiz/l0cx/overview,2026-07-14T15:18:08.978153
117,S. Wawrinka,538,/en/players/stan-wawrinka/w367/overview,2026-07-14T15:18:08.978153
118,N. Budkov Kjaer,530,/en/players/nicolai-budkov-kjaer/b0u4/overview,2026-07-14T15:18:08.978153
119,T. Droguet,528,/en/players/titouan-droguet/d0dw/overview,2026-07-14T15:18:08.978153
120,Z. Piros,525,/en/players/zsombor-piros/p09o/overview,2026-07-14T15:18:08.978153
121,M. Zheng,524,/en/players/michael-zheng/z0bz/overview,2026-07-14T15:18:08.978153
122,D. Sweeny,521,/en/players/dane-sweeny/s0ia/overview,2026-07-14T15:18:08.978153
123,J. Fearnley,520,/en/players/jacob-fearnley/f0by/overview,2026-07-14T15:18:08.978153
124,H. Rocha,517,/en/players/henrique-rocha/r0go/overview,2026-07-14T15:18:08.978153
125,S. Ofner,515,/en/players/sebastian-ofner/o513/overview,2026-07-14T15:18:08.978153
126,O. Virtanen,512,/en/players/otto-virtanen/v0am/overview,2026-07-14T15:18:08.978153
127,C. O'Connell,511,/en/players/christopher-o'connell/o483/overview,2026-07-14T15:18:08.978153
