logged_at,run_id,p1,p2,flag
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Semifinals_WinRate=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Level_A=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Level_D=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Country_USA=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Country_GBR=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Country_FRA=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Matches_14d=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Country_USA=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Country_ITA=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Round_Q2=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Surface_WinRate_90d=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Hand_L=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Hand_L=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Country_ITA=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Rust_Flag=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Rank_Change_90d=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Country_AUS=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Hand_U=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Hand_R=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Round_RR=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Avg_Height=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Sets_14d=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Country_Other=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Round_SF=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_vs_Lefty_WinRate=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Indoor_Season=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Avg_Rank=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P1_Rust_Flag=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Avg_Rank_Points=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Level_F=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,Round_R64=MISSING
2026-07-09T23:44:49+00:00,run_20260709T234034Z,manas manoj dhamne,miguel damas,P2_Country_CZE=MISSING
